frame_number,timestamp,id,face_movement,body_movement,eye_openness_rate,eye_direction_x,eye_direction_y,mouth_openness_rate,yaw_angle,pitch_angle,roll_angle,isAttentive,timestamp_sec
0,00:00:000,yunus,0.0,0.0,0.8178502712394988,0.3837380103608391,0.26422502020816824,0.40199919977602855,0.9651041116076781,0.7309507734904086,0.4999345055642425,1.0,0.0
1,00:00:333,yunus,0.010816203598064076,0.015455560599669602,0.8439410011634063,0.3734289471050184,0.2479631200487754,0.4245692384410831,0.9636614291031762,0.7361113778281536,0.500161076889612,1.0,333.0
2,00:00:666,yunus,0.006233382891225808,0.012565155851376906,0.8554109395735257,0.3733757889146653,0.2733612568969614,0.4337885762807388,0.9645143331395398,0.7324670888668618,0.5014289551477528,1.0,666.0
3,00:01:000,yunus,0.010448426993528884,0.020950375282416063,0.8525267278359419,0.3700248219944292,0.21904441810465242,0.41668232087366186,0.96352867500846,0.7370090689436435,0.5009075098492033,1.0,60.0
4,00:01:333,yunus,0.032056906296704095,0.04738919646071956,0.8482881082521345,0.3438084679090462,0.14104176923352252,0.4427850563792211,0.9662511355954989,0.7324250594852761,0.5006411430464265,1.0,393.0
5,00:01:666,yunus,0.017812944597209376,0.030141334851266417,0.8214573466619135,0.385479153850398,0.17736421545721825,0.4118692527268465,0.9613202022091165,0.715629312760616,0.5011224912637847,1.0,726.0
6,00:02:000,yunus,0.012393785727237108,0.016297313097622865,0.8875020256156233,0.2533670988279112,0.2917813803566375,0.4148826747513469,0.9644779927634048,0.7313329614531624,0.501571046123315,1.0,120.0
7,00:02:333,yunus,0.012383027588719335,0.022363913900712445,0.8355949905120797,0.5694629011706064,0.18289502678978886,0.43000907229461555,0.9664686593986009,0.737997074599213,0.5036718771139449,1.0,453.0
8,00:02:666,yunus,0.02654714003445704,0.05076927757973591,0.8578685090792961,0.42120777801282117,0.19085618579957703,0.4269347843512707,0.9660594189033147,0.7299693666532686,0.5060908095960753,1.0,786.0
9,00:03:000,yunus,0.009453692095062097,0.019519688937549753,0.8222902828065372,0.47724125836056575,0.2455437554240137,0.413895105435077,0.9644394770855325,0.72556907546483,0.505990812480149,1.0,180.0
10,00:03:333,yunus,0.016271223284826053,0.031724758414457474,0.8404418897128146,0.5377303622723208,0.1727478722455566,0.42130077466814364,0.9660723420774221,0.7258618028693062,0.5044513604376619,1.0,513.0
11,00:03:666,yunus,0.05405870800739869,0.060632339975978194,0.822469872799016,0.5151418747910287,0.3022657367279038,0.42654062029268575,0.9719634786928937,0.7017619366678991,0.5078206987324855,1.0,846.0
12,00:04:000,yunus,0.18191893820752958,0.2305873906656844,0.8020465574169474,0.6160415649717481,0.2350991449227509,0.39987126896384406,0.9506615196924472,0.478364374338801,0.5245265327366433,1.0,240.0
13,00:04:333,yunus,0.10174484757747852,0.2813524442273258,0.8198612119110958,0.5887888741125871,0.19930223038351674,0.4078221572933097,0.9531440887359408,0.3848083256673133,0.5454114498335916,1.0,573.0
14,00:04:666,yunus,0.15840638171112395,0.31780845035915073,0.774017651916689,0.5866522399033857,0.17737829190792548,0.42597066978609616,0.9564104884928171,0.4028061276935062,0.5331516338757899,1.0,906.0
15,00:05:000,yunus,0.2231579506159062,0.3520422755217308,0.6577636408221855,0.42120777801282117,0.41831132432649215,0.43165240894218165,0.9571972606100354,0.5445110389385689,0.5252971101216418,1.0,300.0
16,00:05:333,yunus,0.24004941027145435,0.21919912517656745,0.8197629657314244,0.3269035455478561,0.24776393702602245,0.4136737063870203,0.9641557758965835,0.78795194345793,0.514624522525538,1.0,633.0
17,00:05:666,yunus,0.07804628661002767,0.1474773181148232,0.8797951498567792,0.3272828282487311,0.12276585896951608,0.44007114282823334,0.9547698972888212,0.8163988763084754,0.4922123095945411,1.0,966.0
18,00:06:000,yunus,0.21226173821857044,0.3454324069249277,0.8295300830856174,0.3716608082910418,0.22769939118535631,0.46260000912817073,0.9608328335231892,0.801922743487416,0.4981845434112704,1.0,360.0
19,00:06:333,yunus,0.055221754554454494,0.09581490144239051,0.8216170319749361,0.28098855313634935,0.16941810246007316,0.4078086435172123,0.9646284478828558,0.8016917430874156,0.4993404962505041,1.0,693.0
20,00:06:666,yunus,0.09742568796143082,0.15463638848140543,0.8180602731302777,0.2941527655390304,0.2752609734659022,0.42747688774754933,0.9689361716795764,0.8044270131564502,0.5049007274853164,1.0,1026.0
21,00:07:000,yunus,0.035005947298533714,0.06603245177595887,0.8187349626385299,0.2738695516265912,0.12235398562381183,0.41647332299678164,0.967989260052541,0.8112694370286978,0.5080269836705941,1.0,420.0
22,00:07:333,yunus,0.012869963134892927,0.026042913045683822,0.8501629158535338,0.2738100250022318,0.23149974425471165,0.4118633308955248,0.9655968267957383,0.7969665601080291,0.5059466811427236,1.0,753.0
23,00:07:666,yunus,0.023273708594989125,0.040745421556509474,0.8428058295843458,0.2731466374908008,0.2921848975063885,0.42290848508548057,0.9694105501049488,0.8058673097557322,0.5081172144398025,1.0,1086.0
24,00:08:000,yunus,0.01290231449960443,0.01941803503840382,0.8233399243026222,0.3034531438793613,0.25919222160471955,0.39880555930153533,0.967264259195503,0.8074809154077668,0.5072119119032075,1.0,480.0
25,00:08:333,yunus,0.00978022401063559,0.012120633787359851,0.888435804610637,0.3376649733358009,0.2869935830365793,0.4226070257452012,0.9744750336333936,0.8092193804390027,0.5096557305279228,1.0,813.0
26,00:08:666,yunus,0.011384532970995521,0.02135891079697741,0.8496777386427379,0.24582700573808247,0.22847893783630324,0.43051810148415126,0.9687612706143226,0.808384828618627,0.5074009439341,1.0,1146.0
